"orignal_val","predcited_Rev"
39613.9,42476.9800219203
33851.2,29593.7303212502
20138.1,20362.1023510248
72547.9,79444.5213604673
55039.5,48221.1040922827
40567.2,38004.7691385666
23306.5,21223.7209615791
101415,95815.2749610003
23070,24054.7535391149
75660,71936.1306113506
45319,33778.7350010857
22544,23480.3411320787
16711,17777.2465193616
79294,73413.1910865867
48287,48672.4281263826
24660,27214.0217778143
21911,20321.0728933793
105820.55,109683.231645161
24025.5,25777.9907602237
72552.4,89619.826856538
40758.55,40302.4187667116
25950.35,27788.4341848505
22486.65,24793.2837767329
87625.65,87199.0888554566
55019.6,61350.5305388255
35125.75,39686.9769020299
16379.95,17284.8930276163
123711.65,121294.568158822
30852.5,34148.0001198947
86618.3,90563.5043823832
40132.4,40794.772258457
39251.9,37471.3861891758
22341.6,25203.5783531874
96253.7,101887.634692526
74604.55,72715.6903066141
36271.45,35419.9133069035
29495.8,25695.9318449328
90418,87281.1477707475
15679,19377.395367534
61117,58109.2033848353
34665,33081.2342211131
20075,24054.7535391149
16741,15438.5674335712
68854,74849.2221041773
51770,45266.9831418106
21865,23029.0170979788
24115,20977.5442157064
109917,107631.758762889
20742,20239.0139780884
78343,78377.7554616857
33596,31891.3799493951
30486,25203.5783531874
12245,17120.7751970345
85892,81003.6407509943
58168,55647.4359261085
30390,30045.0543553501
19840,19377.395367534
109008,109519.113814579
25826,27131.9628625234
81309,82398.6423109394
39635,35666.0900527762
28118,26639.609370778
22533,23070.0465556242
95426,85845.1167531569
55977,53185.6684673817
24341,26926.8155742961
21083,20731.3674698338
88286.1,92491.8888917192
20005.7,21141.6620462882
79216.9,82644.8190568121
39641.8,40056.2420208389
27808.3,29388.5830330229
21889.8,18761.9535028523
79510.3,82644.8190568121
51746.1,50888.0188392367
26757.4,31481.0853729407
18465.9,17407.9814005526
116663.4,119817.507683586
19505.8,23070.0465556242
85398.8,83014.0841756211
37571.7,41246.0962925569
17342,21305.77987687
21748.2,21059.6031309973
87974.1,84080.8500744027
65920.7,59873.4700635895
36510,38250.9458844393
17718.9,17900.334892298
127289,123756.335617549
29798,24300.9302849876
100977,91343.0640776467
40280,39810.0652749663
23190,23972.694623824
23529,19582.5426557613
87907,86870.8531942931
61733,57698.9088083808
25012,32014.4683223315
24425,21716.0744533245
110008,119489.272022423
19587.6,22618.7225215243
90213.2,91630.2702811648
45805.4,49123.7521604826
29355,31029.7613388408
25607.8,22290.4868603607
104005.6,99548.9556067359
62074.8,60817.1475894347
32307.8,36158.4435445215
19342.8,21346.8093345155
116731.3,116699.268902532
30448.5,25203.5783531874
96861.9,97374.3943515273
